colname
(Intercept)
clase_latente_factor2
clase_latente_factor3
sexo2
edad_cat35-54
edad_cat55+
clase_social_finalBaja
clase_social_finalMedia
clase_social_finalMedia-alta
clase_social_finalMedia-baja
