var,n_levels,n_nonmiss,top_levels
clase_latente_factor,NA,0,NA
sexo,NA,0,NA
edad_cat,NA,0,NA
clase_social_final,1994,2000,0.943342648683149 | -1.34866314728689 | 1.10004258313665 | -0.00109592340171928 | -0.00275667311535577 | -0.00342444449668577 | -0.00413694488184608 | -0.00889756307515643 | -0.00952169245860984 | -0.0105085915149922
