clase_latente_factor,pct_reducir_carne,pct_compensar_carne,pct_reducir_digital,pct_compensar_digital,n
Clase 1 (60%),67.89350039154269,51.44175317185697,88.17541111981207,48.0814408770556,1277
Clase 2 (13%),74.29906542056075,48.42767295597484,91.58878504672897,51.4018691588785,214
Clase 3 (27%),64.83300589390963,53.63636363636364,90.37328094302553,48.52652259332024,509
